id	name	description
 1 Adventure Stories filled with daring journeys, survival, and exploration.
 2 Mystery Enigmatic plots, hidden motives, and suspenseful twists.
 3 Drama Emotional narratives, complex relationships, and human conflicts.
 4 Science Insights into nature, technology, and groundbreaking research.
 5 Anthropology Human societies, cultures, and the essence of civilizations.
 6 Lyrics Song-like verses, vivid emotions, and flowing rhythm.
 7 Mythology Ancient legends, divine heroes, and mystical creatures.
 8 Renaissance Influential masterpieces from the golden age of literature.
 9 Autobiographies Firsthand accounts of life stories by prominent individuals.
 10 Philosophy Thought-provoking ideas, existential questions, and lifeâ€™s meaning.